account_holder,contact_number,account_number,current_location,transaction_amount,transaction_history,is_mule
Mandy Clark,8255326828,APMA31123057641676,"-61.572409, -44.798908",8848.28,2024-09-15T05:56:26,0
Isabel Nguyen,(854)975-5013x97262,VAVA04976117225172,"-10.147806, 100.682634",8627.3,2023-12-02T20:29:04,0
Paula Stone,2598155703,CNKE55361820798250,"40.882136, 169.997125",6486.7,2024-04-18T18:28:38,1
Jared Hamilton,579.550.6742,KCBH05422192605850,"32.398374, -131.212807",9553.6,2024-03-20T17:34:26,1
Ryan Graham,8096873641,HQIA46511547800753,"-13.1558905, 108.117024",8764.44,2024-08-27T17:41:54,1
Julie Ballard,+1-516-248-4006x0607,XOPH43623351773364,"32.369707, -61.074539",1063.29,2024-03-14T04:05:41,1
Jennifer Freeman,836-486-6239x564,ZUUW06325961977112,"26.7062995, -121.005476",4703.15,2023-12-03T19:00:55,0
Tony Walker,260.834.8352,YPRU34471469542238,"-2.314942, -76.953994",7069.55,2024-05-23T21:53:17,1
Courtney House,+1-347-662-5077x397,QUTQ20751187892713,"72.7745295, -52.783637",2427.67,2023-11-21T20:31:22,1
Amy Morales,(749)405-4851,NTTS00874894399731,"83.2084465, -80.085342",9405.0,2023-11-11T16:18:02,1
Aaron Sweeney,+1-886-598-8608x86419,TAPQ78986488638870,"-33.839868, -150.488942",4083.45,2024-10-04T12:47:22,1
Nicholas Williamson,+1-522-909-8305x78911,JOCR65778689533608,"-22.5577225, 46.064855",290.7,2024-04-18T00:40:21,0
Christopher Whitney,749-965-6806x498,XFQA85719315352228,"38.463689, 22.512656",8217.03,2024-03-24T04:21:50,1
James Austin,(591)441-4075,SKQV32494679280362,"-44.936305, -51.173441",3876.11,2024-05-27T22:48:42,0
Eric Pham,(955)935-4743x8047,NIYA70231230710783,"-83.1300375, 127.335766",2657.24,2024-06-25T20:16:42,1
Ricardo Rodriguez,7638501702,AJBD93617814212488,"-58.665962, 156.315075",7121.65,2024-05-22T05:59:19,0
Katrina Yates,363.346.9280,VKIU52364374558978,"-81.8506685, 56.924871",6919.26,2024-02-16T02:44:01,1
Matthew Gray,8742968348,KYDM05437558607353,"-47.1333065, 151.773878",2552.52,2024-02-11T06:02:55,1
Paul Thomas,001-658-465-8170x72801,UOEF65652681015026,"-33.0915955, -35.808477",5878.3,2024-09-09T12:34:14,1
Abigail Mata,383-301-5199,FIBT64888480019633,"56.769242, 46.585299",8994.48,2024-06-22T11:43:06,0
Richard Graves,+1-671-635-4865,YNGN76832646957276,"-88.0140035, -32.870280",1550.56,2024-02-25T13:18:22,1
Larry Flowers,(226)417-3895x837,UITL06914463001705,"14.3994075, -23.911240",2153.43,2024-06-06T12:56:22,1
Rebecca Moore,+1-833-958-8112,EHRT40216664983202,"79.076847, 34.953955",3039.3,2024-06-04T14:47:08,1
Teresa Patterson,001-319-845-5941x565,JFRS89727946729005,"31.0706025, 162.038104",9071.34,2024-08-28T12:44:45,1
Leonard Lutz,3674837359,MZOY42975349400678,"-67.1563485, 95.910100",9806.7,2023-12-23T10:53:41,1
Micheal Levy,411.233.0483,QTIP58962548815881,"-0.102182, -139.139835",8279.91,2024-10-11T03:01:50,0
Brittany Andersen,653.566.3995x45762,XFTE12504909743254,"-52.7262635, -24.282396",2211.47,2024-08-19T14:21:41,0
Andrea Braun,001-334-493-2012x72138,IVFQ12331443201859,"41.502252, 91.989436",755.71,2023-12-22T02:33:10,0
Bruce Cummings,+1-629-860-6783x61886,QJDJ14520904865522,"-60.2843365, 97.605775",3835.31,2024-09-03T03:43:00,1
Kyle Leonard,769-489-5972,WDQJ19128343366973,"49.252374, -119.456860",7343.64,2024-02-05T19:02:41,1
Sean Harris,501.803.6385x538,QUGU37960284669738,"-53.1472855, -86.920876",7310.44,2024-03-11T07:02:32,0
Bailey Holmes,(959)928-8892x627,BLEV31271101364864,"-33.8297415, -64.052781",5150.77,2023-10-31T21:09:03,0
Angela Jordan,001-654-534-8285,ICQI26750004396991,"85.118046, -174.771484",141.61,2024-03-19T20:14:26,1
David Garrett,+1-265-404-7105x10666,MNDF98950639110928,"83.275244, 139.591722",2401.46,2024-10-07T21:13:17,1
Jesse Davis,001-334-415-6671x759,BACC07152436247910,"-13.895231, 123.509979",2763.2,2024-06-05T14:51:48,1
Benjamin Fernandez,(527)405-7933x622,RKKL12759498628453,"-11.8456375, -172.091849",549.38,2024-10-11T20:31:09,1
Allen Jones,001-899-312-4694x2167,WVKR24560719115856,"-65.245568, 178.813354",2256.69,2024-05-25T21:41:09,0
Jordan Shelton,404.800.8920,ZHLI95440461303171,"-68.759396, 58.068077",8301.72,2024-08-22T02:22:57,1
Maria Bates,444-906-1262,EBTI22881092487919,"55.866912, -150.290713",2339.77,2024-03-02T13:08:37,1
Steven Horne,983.284.0895,JKIR02557823898217,"-81.686570, 14.662681",1829.49,2024-04-23T21:37:40,0
Michele Davis,3206804210,QMDR92601315754161,"66.450408, 49.914191",5265.08,2023-10-18T14:32:24,1
Kenneth Fletcher,001-477-746-5327x919,ENCY14784157420326,"72.487056, 139.548376",6231.28,2024-10-02T16:05:46,0
Kevin White,460.834.4166,DLMF79064806127978,"53.281312, -109.122709",4388.03,2023-12-19T05:32:53,1
Amanda Brown,+1-987-779-1727x63492,IMDO85402318345996,"-47.327069, 63.161309",4475.17,2024-02-18T14:08:11,1
Heather Bolton,+1-228-236-0603,FFFF30734576227092,"-69.4342455, 55.955315",1278.27,2024-05-24T14:37:00,1
Natalie Dalton,(310)384-3357,PMJW53039689567337,"-88.280604, -179.630260",7285.43,2024-02-08T08:35:38,0
Zachary Hurley,361.426.1580,STWE88302988147954,"18.1679375, -84.135499",7164.37,2024-07-28T00:05:50,0
Laura Thomas,(408)264-3443x166,IODS28610831268095,"89.1593545, -174.294870",2158.32,2024-01-13T13:00:30,0
Thomas Stokes,941.389.5797x50843,OYVX65240931905001,"63.079248, 42.650188",9874.15,2023-11-15T02:42:30,1
Thomas Stafford,001-917-231-0580x44774,EHAR61899297610158,"-46.329458, -13.439591",4218.16,2024-09-25T02:19:29,1
Darrell Brown,(559)361-8069x688,NMID95717693733264,"-46.160580, -9.805918",4303.55,2024-03-17T16:36:24,1
Evan Wells,001-580-868-2754x7746,JEMF96743587742591,"63.2472145, -81.549962",9199.29,2024-03-05T04:59:35,1
William Kaufman,271.395.4242x85388,TPPS23456712437827,"47.963198, 68.036603",9268.52,2024-08-23T05:20:26,1
Kelli Jones,(465)812-5099,CBGE20654807175988,"66.7596925, 122.030374",3335.26,2024-09-23T02:21:43,0
Michael Carroll,001-661-871-4315x27881,DFVD82595912420356,"2.7609055, -179.560484",2728.47,2024-06-11T17:38:33,0
John Greene,+1-732-457-7725x80133,RRCF72722887410359,"47.9662355, 67.902473",5436.5,2024-01-28T09:56:15,1
Alexis Smith,(902)489-7225x06050,UBVJ42321430975541,"21.2257545, -11.265981",2036.57,2024-01-21T05:05:17,0
Danielle Fowler,733-625-3733,EBFC20541758763004,"-6.5423255, 2.145833",5129.19,2024-08-25T22:08:19,0
Logan Wilkerson,001-680-577-2270x33739,JTYH67551692118870,"-36.036108, 139.655531",7741.3,2024-02-20T04:02:07,1
Larry Lloyd,(471)809-1893x511,TFKH50299691022685,"8.5085425, -33.331988",3548.02,2024-04-17T10:22:43,0
Stephanie Guzman,920.465.7456x575,WZIQ59632426516926,"-64.582032, -130.067520",3624.66,2023-11-05T12:56:57,1
Patrick Cox,994-795-2006,RYDO24252514387415,"55.602498, -34.692263",3141.01,2023-11-26T19:54:12,0
Mary Allen,2145438019,OJMC02750090721209,"-76.645335, -78.457856",6210.14,2024-01-09T04:32:40,0
Barbara Johnson,666-688-8072,LFBX89762241511566,"-83.359363, 155.170289",3245.94,2023-11-28T01:16:46,0
Jaime Miller,(380)741-4262,EHFA93554908800301,"-45.509832, -41.673297",7890.95,2023-12-10T18:22:28,1
Wayne Pearson,+1-750-389-7989,DLSC59972642753364,"65.5221035, -125.950048",1194.16,2024-10-10T12:20:45,1
Thomas Huff,677-249-6491,XKGW03344042960770,"-75.769138, 153.326864",4781.46,2024-09-01T02:19:47,0
Marissa Smith,+1-961-339-2017,SOOK43358382810902,"29.845970, 174.248377",3683.7,2024-02-17T01:25:00,1
Tonya Bennett,363-436-9875,IJBX61332333116230,"1.0942415, -54.770372",2060.06,2024-09-26T00:45:48,1
Mary Brown,001-874-279-8747x87086,CRCJ10567299792550,"6.9704005, -121.612675",8747.05,2024-10-02T03:29:21,0
Meredith Caldwell,236-245-9445x5391,VCFA24187518186952,"18.0975725, 150.122997",6217.62,2024-03-22T00:59:52,1
Zachary Thomas,+1-439-826-6886x75551,IAIF31034719192961,"31.675300, -122.592004",5930.17,2024-06-17T14:37:03,1
Timothy Taylor,679.313.5788x6411,ZHUB66629512899394,"-13.924308, -154.864831",6250.63,2024-04-03T10:42:45,0
Stephen Alvarado,385-994-9260x3084,EWKM59062024893262,"86.9212085, 77.118503",1746.63,2024-04-29T18:59:36,1
Lauren Swanson,828-420-4734x92832,JZZU76414477180196,"-7.369617, -79.312242",8144.05,2024-03-01T01:23:13,0
John Chase,609.412.4182x871,OZDE45565353324918,"68.1579205, 41.377452",692.2,2024-02-27T16:32:53,1
Michael Ayers,(397)338-8357,UYAI40067113604573,"13.7927345, 38.721992",6700.02,2024-05-08T22:40:18,0
Jennifer Miller,9719373879,IUUC95170084841570,"6.8359445, 160.646843",5393.15,2023-11-21T08:54:04,1
Ann Bailey,804.557.1984x056,CQFF29572905953390,"-13.179647, -10.918826",9687.69,2024-01-02T04:09:00,1
Autumn Cline,+1-398-518-9775x76007,VLCD44912044361071,"-75.968127, 49.327797",5298.67,2024-09-16T07:28:34,1
Crystal Summers,843.311.9655x8542,WZUY18345867339640,"12.812077, 75.266377",5731.7,2023-11-06T22:41:34,0
James Howell,907-742-8017x681,YDQU23294326761828,"33.645964, -164.528419",9251.49,2024-02-13T14:02:12,1
Craig Lopez,640-516-8897,PKXY70269963396575,"68.611902, 157.765451",6181.58,2023-11-18T13:20:13,1
Nicholas Long,4986230713,GHSV55121758946166,"-17.6649565, 4.772152",3206.55,2023-12-10T04:59:10,0
